,murderandn,robbery,aggravated,burglary,larcenythe,motorvehic,arson,otherassau,forgeryand,fraud,embezzleme,stolenprop,vandalism,weaponscar,prostituti,sexoffense,drugabusev,gambling,offensesag,drivingund,liquorlaws,drunkennes,disorderly,allotherof,population,year,state,decrim,medical,recreational,st
0,265,1413,4712,2617,14252,1150,72,24142,1607,8963,39,1955,2209,1490,182,361,13449,65,947.0,15954.0,6671,9190.0,3892.0,59027,4056000.0,1999,ALABAMA,0,0,0,AL
1,36,188,1089,605,3166,441,18,4391,101,225,6,29,1056,532,180,304,1841,0,378.0,4316.0,1539,15.0,990.0,14555,558000.0,1999,ALASKA,0,1,0,AK
2,243,1359,6040,4632,31589,3418,269,26033,1668,1889,190,1462,8406,2911,2262,2179,28322,34,2040.0,31746.0,25067,0.0,17604.0,60661,4409000.0,1999,ARIZONA,0,0,0,AZ
3,171,779,4117,3384,13824,537,115,8175,2029,21649,79,1572,1335,2399,276,705,14615,125,1929.0,18290.0,3521,17393.0,7718.0,85720,2428000.0,1999,ARKANSAS,0,0,0,AR
4,1770,18746,109685,49307,104527,19857,1783,78688,11200,9514,1765,15487,26735,22738,14706,16474,253820,913,849.0,189349.0,31671,117184.0,17212.0,342230,33037000.0,1999,CALIFORNIA,0,1,0,CA
5,99,634,3922,2212,18842,1801,220,17702,902,2091,77,338,5703,2275,1130,1207,16765,26,1758.0,30564.0,18424,242.0,14336.0,70026,2522000.0,1999,COLORADO,0,0,0,CO
6,90,1378,4416,2724,15002,1234,145,15845,858,1692,121,355,3547,1657,654,615,18161,45,2346.0,9691.0,2209,14.0,21995.0,47758,3117000.0,1999,CONNECTICUT,0,0,0,CT
7,23,574,1987,1080,4370,218,65,8630,639,2265,154,545,922,458,131,427,3290,18,267.0,223.0,2168,417.0,2454.0,5629,754000.0,1999,DELAWARE,0,0,0,DE
8,122,755,3145,2902,12418,931,183,12572,2375,9518,130,1246,1139,1729,64,1206,15753,33,3017.0,20366.0,4577,3915.0,12341.0,43799,2446000.0,1999,GEORGIA,0,0,0,GA
9,44,376,612,885,5179,857,21,3361,327,376,30,84,626,241,427,397,2492,366,1657.0,3661.0,1005,0.0,443.0,24259,1043000.0,1999,HAWAII,0,0,0,HI
10,14,84,977,976,5394,351,59,5837,338,563,114,274,1530,494,7,286,4470,0,336.0,9209.0,5482,155.0,1613.0,21066,1078000.0,1999,IDAHO,0,0,0,ID
11,244,1427,7365,2858,17142,1969,133,10466,1092,2016,62,688,1948,1481,1283,1058,15965,357,1093.0,16849.0,10500,16794.0,5403.0,62288,3449000.0,1999,INDIANA,0,0,0,IN
12,24,359,3708,1839,10253,643,116,8973,835,1484,168,170,2444,598,242,235,8887,21,453.0,12091.0,11627,9471.0,5350.0,19959,2325000.0,1999,IOWA,0,0,0,IA
13,29,457,1955,886,2779,503,54,2851,639,1498,40,465,561,689,445,205,6229,51,830.0,3468.0,348,4421.0,1729.0,13842,446000.0,1999,KENTUCKY,0,0,0,KY
14,248,1409,9501,6545,25273,1434,227,27311,1524,2432,13,2757,4918,1970,550,1425,22077,138,1990.0,14239.0,7605,5927.0,15883.0,65086,3288000.0,1999,LOUISIANA,0,0,0,LA
15,73,1039,3468,3667,14831,1430,350,21179,659,3502,159,304,2390,1720,220,810,17142,33,2078.0,20727.0,5327,1.0,3660.0,66116,3087000.0,1999,MARYLAND,0,0,0,MD
16,69,1393,11734,2943,11313,1188,133,12521,430,653,20,1340,2333,872,1572,787,15690,55,2301.0,11562.0,4726,7744.0,8510.0,26055,4811000.0,1999,MASSACHUSETTS,0,0,0,MA
17,1275,2819,11832,5796,23425,2189,529,30262,1104,5616,1315,8065,4035,5927,2107,1355,30955,441,4432.0,47191.0,29184,555.0,8695.0,105085,8068000.0,1999,MICHIGAN,0,0,0,MI
18,142,1020,3781,3134,19455,2760,246,18283,2124,8529,7,2568,6914,2318,1646,934,19518,67,701.0,40604.0,28040,0.0,19196.0,39572,4061000.0,1999,MINNESOTA,1,0,0,MN
19,135,549,1212,2160,7914,762,74,10130,865,1958,463,612,868,768,155,235,9816,124,1979.0,10087.0,2959,6415.0,7165.0,29398,1106000.0,1999,MISSISSIPPI,1,0,0,MS
20,251,1731,5829,4368,23405,3462,311,29932,1480,2521,104,1443,6781,3519,2010,2002,24042,97,2700.0,18259.0,5735,2060.0,10416.0,88928,3146000.0,1999,MISSOURI,0,0,0,MO
21,17,74,478,269,3365,221,25,2484,177,259,11,22,1032,72,39,82,229,0,128.0,1053.0,1491,0.0,941.0,959,433000.0,1999,MONTANA,0,0,0,MT
22,46,323,864,1139,10023,484,163,9956,840,1955,155,1097,3009,1098,355,627,8955,98,1474.0,12755.0,11043,0.0,4547.0,23009,1536000.0,1999,NEBRASKA,0,0,0,NE
23,123,1146,1678,3719,10986,1580,95,15108,543,2184,424,1419,1641,1828,4422,1417,10432,26,1119.0,7771.0,7499,402.0,3560.0,50233,1760000.0,1999,NEVADA,0,0,0,NV
24,2,92,163,195,1356,83,29,2999,34,227,4,154,607,78,9,75,1726,3,55.0,2237.0,2139,3019.0,574.0,6052,463000.0,1999,NEWHAMPSHIRE,0,0,0,NH
25,240,4190,10836,6479,31797,1383,568,34060,1466,5758,95,7212,8347,4959,2969,1988,54465,483,15656.0,23770.0,13137,13.0,27962.0,105792,7836000.0,1999,NEWJERSEY,0,0,0,NJ
26,68,254,2115,830,6269,276,22,5082,220,272,117,716,414,505,511,53,4324,1,640.0,8966.0,3712,1030.0,1598.0,28589,991000.0,1999,NEWMEXICO,0,0,0,NM
27,165,2283,7351,6009,28481,2003,324,27596,3281,11623,243,4820,10322,2785,1326,3255,34606,146,3050.0,30776.0,6632,0.0,13043.0,63383,5753000.0,1999,NEWYORK,0,0,0,NY
28,669,3705,19202,13279,38529,2275,475,55167,4628,39692,2771,6724,9677,6589,922,2111,36640,358,5670.0,56617.0,10355,0.0,14659.0,130299,6750000.0,1999,NORTHCAROLINA,0,0,0,NC
29,5,20,122,321,1818,251,12,1233,132,3030,5,67,551,82,0,51,1091,4,184.0,3456.0,4751,230.0,1319.0,4329,471000.0,1999,NORTHDAKOTA,0,0,0,ND
30,185,2027,7661,5159,25119,1886,565,24103,2013,4829,95,4521,4207,3247,1993,1752,21555,110,20399.0,22245.0,17692,9719.0,14723.0,84928,6008000.0,1999,OHIO,0,0,0,OH
31,103,988,2061,3216,21808,2312,306,15002,2525,1233,87,492,4270,1714,517,1325,12930,10,494.0,15744.0,16300,0.0,5516.0,21127,3116000.0,1999,OREGON,1,1,0,OR
32,477,6154,14548,8899,33048,6354,816,39927,2666,9127,194,3494,13003,3399,2928,3060,41891,277,875.0,32757.0,22627,16197.0,49966.0,41270,9179000.0,1999,PENNSYLVANIA,0,0,0,PA
33,30,242,798,782,3195,468,76,5469,159,973,110,441,1562,449,404,203,4383,69,469.0,1841.0,1341,56.0,2416.0,13171,991000.0,1999,RHODEISLAND,0,0,0,RI
34,55,492,2301,939,5887,264,65,7320,724,3073,110,918,1276,1120,383,159,8713,49,77.0,8132.0,8549,5025.0,5337.0,8984,899000.0,1999,SOUTHCAROLINA,0,0,0,SC
35,8,46,418,560,2653,141,48,2509,139,671,51,188,765,151,4,219,2409,3,312.0,4214.0,8763,294.0,1663.0,5647,521000.0,1999,SOUTHDAKOTA,0,0,0,SD
36,326,1047,5600,2447,18879,1180,135,16693,1891,9724,123,296,1701,2851,1426,721,15283,637,792.0,14744.0,4849,17171.0,5715.0,41214,2787000.0,1999,TENNESSEE,0,0,0,TN
37,773,5714,20341,16619,80852,8535,799,88842,7556,13710,313,701,11575,10941,7067,4815,96559,444,3888.0,82809.0,29604,146414.0,36027.0,268184,18060000.0,1999,TEXAS,0,0,0,TX
38,26,242,1286,1154,11575,659,108,7057,1105,611,11,583,2497,782,445,703,6153,0,975.0,5601.0,11341,4568.0,3995.0,30071,1446000.0,1999,UTAH,0,0,0,UT
39,7,4,212,319,955,73,14,1366,64,352,22,138,284,9,2,27,1089,0,415.0,3048.0,2401,0.0,847.0,2508,483000.0,1999,VERMONT,0,0,0,VT
40,228,1431,5259,4072,20803,1853,411,32325,3113,11557,1015,763,4273,3941,469,1251,21310,59,1533.0,24227.0,11098,26050.0,5288.0,83024,4640000.0,1999,VIRGINIA,0,0,0,VA
41,120,1349,4963,5548,28987,2292,375,30535,2755,1292,129,3630,6797,2602,703,1359,19692,20,227.0,29919.0,15757,57.0,4669.0,51491,4232000.0,1999,WASHINGTON,1,1,0,WA
42,41,99,1458,536,2834,252,40,4885,283,1375,59,194,745,316,113,127,2272,0,73.0,5836.0,2016,3493.0,503.0,4437,948000.0,1999,WESTVIRGINIA,0,0,0,WV
43,9,35,414,386,2708,142,9,2176,106,245,8,77,598,159,9,118,2317,1,229.0,4271.0,6110,1502.0,1605.0,9977,471000.0,1999,WYOMING,0,0,0,WY
44,317,1154,4016,2458,11762,902,109,21645,1652,10607,38,1479,1896,1262,138,299,12292,51,1292.0,13703.0,6259,7295.0,3060.0,45442,3172874.0,2000,ALABAMA,0,0,0,AL
45,21,122,979,576,3568,371,24,4255,89,237,4,27,888,444,117,226,1747,3,372.0,4452.0,1448,15.0,875.0,13982,569591.0,2000,ALASKA,0,1,0,AK
46,214,1425,6333,4390,29041,3658,270,24618,2041,1885,235,1588,8265,2740,2537,1755,28613,22,2131.0,32033.0,25900,0.0,16142.0,63752,4648179.0,2000,ARIZONA,0,0,0,AZ
47,161,764,3681,2720,12621,480,115,7371,1995,19237,5,1440,1189,2027,359,642,12229,31,2166.0,16640.0,2541,14854.0,6086.0,81469,2307323.0,2000,ARKANSAS,0,0,0,AR
48,1635,17121,107987,46951,96298,21966,1847,81115,11573,9208,2010,15382,26594,21471,12401,15354,251448,700,629.0,183267.0,26824,113962.0,17240.0,306987,33765419.0,2000,CALIFORNIA,0,1,0,CA
49,110,671,3975,2469,21410,2278,316,20142,1319,1985,81,630,6387,2546,1248,1336,16080,11,2578.0,23725.0,18179,428.0,15790.0,72071,3253449.0,2000,COLORADO,0,0,0,CO
50,69,944,3300,2075,11888,994,153,14889,720,1422,116,294,2544,1140,582,566,13915,43,1566.0,7394.0,1753,2.0,14452.0,37299,2572850.0,2000,CONNECTICUT,0,0,0,CT
